eventId,questionId,questionText,answer,author,sourceSummaryId,forUse
D407,0,"Poaching of elephants in central and southern Africa has been a serious problem.",Y,AJQGWGESKQT4Y,D407.M.250.B.D,1
D407,1,"Poaching of black rhinos in central and southern Africa has been a serious problem.",Y,AJQGWGESKQT4Y,D407.M.250.B.D,0
D407,2,"Over 700,000 elephants were lost to poachers collecting tusks.",Y,AJQGWGESKQT4Y,D407.M.250.B.D,0
D407,3,"Three quarters of Zimbabwe's rhino herds were wiped out.",Y,AJQGWGESKQT4Y,D407.M.250.B.D,0
D407,4,"In Asia powdered rhino horn is thought to increase sexual potency.",Y,AJQGWGESKQT4Y,D407.M.250.B.D,0
D407,5,"Pouching is difficult to control",Y,AJQGWGESKQT4Y,D407.M.250.B.D,0
D407,6,"Poaching is one factor for the decreasing number of pandas.",Y,AJQGWGESKQT4Y,D407.M.250.B.D,0
D407,7,"Elephants and rhinos are poached in southern Africa.",Y,AXR8QNGNBF1DU,D407.M.250.B.D,0
D407,8,"Elephant tusks are collected for the ivory.",Y,AXR8QNGNBF1DU,D407.M.250.B.D,0
D407,9,"Pandas are being poached in China.",Y,AXR8QNGNBF1DU,D407.M.250.B.D,1
D407,10,"Natives collect gorilla skulls.",Y,AXR8QNGNBF1DU,D407.M.250.B.D,0
D407,11,"An international trade ban was introduced in 1989.",Y,AXR8QNGNBF1DU,D407.M.250.B.D,0
D407,12,"Kenya offers tourist hunting to help battle poaching.",Y,AXR8QNGNBF1DU,D407.M.250.B.D,0
D407,13,"Large cats are being poached.",Y,AXR8QNGNBF1DU,D407.M.250.B.D,1
D407,14,"Project Tiger has successfully protected the tiger population.",Y,AXR8QNGNBF1DU,D407.M.250.B.D,1
D407,15,"The illegal killing of wildlife is called poaching.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.A,0
D407,16,"Poached animals are used for many reasons.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.A,0
D407,17,"Live poached animals are sold to zoos.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.A,0
D407,18,"African elephants are poached because they damage crops.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.A,0
D407,19,"Tigers are poached for their pelts.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.A,0
D407,20,"Body parts of poached animals are used in Chinese Medicine.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.A,0
D407,21,"Wildlife preserves have been established to protect animals.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.A,0
D407,22,"Efforts are being made to devalue poached animal parts.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.A,1
D407,23,"Poaching is the illegal killing or procuring of endangered animals.",Y,AGA1PIIWM8I8D,D407.M.250.B.A,0
D407,24,"Poached animals are often used for trophies.",Y,AGA1PIIWM8I8D,D407.M.250.B.A,0
D407,25,"African elephants are poached for their tusks.",Y,AGA1PIIWM8I8D,D407.M.250.B.A,0
D407,26,"Rhino horns have been sold as aphrodisiacs.",Y,AGA1PIIWM8I8D,D407.M.250.B.A,1
D407,27,"International bans have been enacted against poaching elephants.",Y,AGA1PIIWM8I8D,D407.M.250.B.A,0
D407,28,"Preserves have been created to protect endangered species.",Y,AGA1PIIWM8I8D,D407.M.250.B.A,0
D407,29,"Some areas have a shoot-to-kill policy against poachers.",Y,AGA1PIIWM8I8D,D407.M.250.B.A,1
D407,30,"Rhinos can have their horns removed to prevent poaching.",Y,AGA1PIIWM8I8D,D407.M.250.B.A,1
D407,31,"Giant pandas are endangered in China.",Y,AGA1PIIWM8I8D,D407.M.250.B.I,0
D407,32,"Bison are endangered in Poland.",Y,AGA1PIIWM8I8D,D407.M.250.B.I,0
D407,33,"Poachers in America kill black bears for their gall bladders.",Y,AGA1PIIWM8I8D,D407.M.250.B.I,0
D407,34,"Blue and humpback whales are endangered aquatic species.",Y,AGA1PIIWM8I8D,D407.M.250.B.I,1
D407,35,"India has a program called Project Tiger which allows the killing of poachers.",Y,AGA1PIIWM8I8D,D407.M.250.B.I,0
D407,36,"Bans on big game hunting have been imposed in Kenya.",Y,AGA1PIIWM8I8D,D407.M.250.B.I,0
D407,37,"Buffalo are an endangered species in Africa.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.I,0
D407,38,"Tigers are an endangered species in India.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.I,0
D407,39,"In the United States black bears are threatened by poachers.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.I,1
D407,40,"Animals are poached for their body parts.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.I,0
D407,41,"Black bears are poached for their gall bladders.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.I,1
D407,42,"Books and movies have been created to promote anti-poaching attitudes.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.I,1
D407,43,"Dian Fossey was active in fighting poaching.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.I,0
D407,44,"Dian Fossey tried to protect mountain gorillas.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.B,1
D407,45,"Dian Fossey urged the killing of poachers.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.B,1
D407,46,"Gorilla numbers continue to decline",Y,A5VBIZ2KIQ1R8,D407.M.250.B.B,0
D407,47,"Most of the world's pandas are in six reserves.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.B,0
D407,48,"Zambabwe removed horns from rhinos and released them.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.B,0
D407,49,"The bison has been reestablished in Poland.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.B,0
D407,50,"Polish bison were kept in nature reserves.",Y,A5VBIZ2KIQ1R8,D407.M.250.B.B,0
D407,51,"The African elephant is endangered in east and central Africa.",Y,AJQGWGESKQT4Y,D407.M.250.B.B,0
D407,52,"The black rhinoceros is endangered in east and central Africa.",Y,AJQGWGESKQT4Y,D407.M.250.B.B,1
D407,53,"Kenya supported an international ban on the ivory trade.",Y,AJQGWGESKQT4Y,D407.M.250.B.B,0
